Ward Code,nimdm_ward_lgd,official_ward_lgd,SOA Code,SOA Name
95AA01,Aldergrove Antrim,ALDERGROVE ANTRIM,95AA01S1,Aldergrove 1
95AA01,Aldergrove Antrim,ALDERGROVE ANTRIM,95AA01S2,Aldergrove 2
95AA01,Aldergrove Antrim,ALDERGROVE ANTRIM,95AA01S3,Aldergrove 3
95AA02,Balloo Antrim,BALLOO ANTRIM,95AA02W1,Balloo
95AA03,Ballycraigy Antrim,BALLYCRAIGY ANTRIM,95AA03W1,Ballycraigy
95AA04,Clady Antrim,CLADY ANTRIM,95AA04W1,Clady
95AA05,Cranfield Antrim,CRANFIELD ANTRIM,95AA05W1,Cranfield
95AA06,Crumlin Antrim,CRUMLIN (ANTRIM) ANTRIM,95AA06S1,Crumlin 1 (Antrim LGD)
95AA06,Crumlin Antrim,CRUMLIN (ANTRIM) ANTRIM,95AA06S2,Crumlin 2 (Antrim LGD)
95AA07,Drumanaway Antrim,DRUMANAWAY ANTRIM,95AA07W1,Drumanaway
95AA08,Farranshane Antrim,FARRANSHANE ANTRIM,95AA08W1,Farranshane
95AA09,Fountain Hill Antrim,FOUNTAIN HILL ANTRIM,95AA09W1,Fountain Hill
95AA10,Greystone Antrim,GREYSTONE (ANTRIM) ANTRIM,95AA10W1,Greystone (Antrim LGD)
95AA11,Massereene Antrim,MASSEREENE ANTRIM,95AA11S1,Massereene 1
95AA11,Massereene Antrim,MASSEREENE ANTRIM,95AA11S2,Massereene 2
95AA12,Parkgate Antrim,PARKGATE ANTRIM,95AA12W1,Parkgate
95AA13,Randalstown Antrim,RANDALSTOWN ANTRIM,95AA13S1,Randalstown 1
95AA13,Randalstown Antrim,RANDALSTOWN ANTRIM,95AA13S2,Randalstown 2
95AA14,Shilvodan Antrim,SHILVODAN ANTRIM,95AA14W1,Shilvodan
95AA15,Springfarm Antrim,SPRINGFARM ANTRIM,95AA15S1,Springfarm 1
95AA15,Springfarm Antrim,SPRINGFARM ANTRIM,95AA15S2,Springfarm 2
95AA16,Steeple Antrim,STEEPLE ANTRIM,95AA16W1,Steeple
95AA17,Stiles Antrim,STILES ANTRIM,95AA17W1,Stiles
95AA18,Templepatrick Antrim,TEMPLEPATRICK ANTRIM,95AA18W1,Templepatrick
95AA19,Toome Antrim,TOOME ANTRIM,95AA19W1,Toome
95BB01,Ballygowan Ards,BALLYGOWAN ARDS,95BB01S1,Ballygowan 1
95BB01,Ballygowan Ards,BALLYGOWAN ARDS,95BB01S2,Ballygowan 2
95BB02,Ballyrainey Ards,BALLYRAINEY ARDS,95BB02W1,Ballyrainey
