id_hcn,site,CIN_SEQ,REASON_CO_OPENED_DESC,DATE_OPENED
7410c,g,i,j,2011-12-18
14584c,b,j,j,2020-08-07
208c,g,i,d,2011-08-06
13855c,b,g,c,2022-06-19
8525,a,h,f,2014-02-25
8489,a,h,i,2019-08-10
13444c,b,f,i,2011-11-20
6937,c,j,a,2015-09-27
2264c,g,j,h,2022-12-19
14124c,h,j,j,2020-11-02
4602c,b,e,j,2011-11-07
9936c,a,e,h,2022-11-03
5945c,g,c,c,2020-12-30
12358c,a,a,h,2011-08-15
1397,a,f,f,2015-03-05
6349c,c,f,i,2017-02-07
2354,c,b,f,2014-11-26
3868,g,a,c,2014-07-15
7570,a,g,e,2020-07-10
3286c,e,d,e,2011-11-27
2947,e,c,j,2015-04-02
13372c,c,d,j,2013-05-01
14477c,b,h,a,2010-03-16
1814c,a,a,c,2012-08-02
3902c,g,e,g,2022-04-03
14746c,j,b,j,2012-01-23
13356c,h,e,b,2021-07-17
14391c,d,e,f,2021-03-23
9870c,c,a,b,2012-12-04
1754,e,j,b,2018-01-17
3193c,e,d,b,2012-02-17
6369,f,e,f,2021-10-05
9792,c,h,f,2010-01-21
9608c,h,f,f,2010-09-23
10812c,e,d,i,2018-12-14
4512c,b,g,c,2014-11-17
10556c,g,c,h,2012-08-18
8589,i,c,i,2017-01-24
5846c,c,d,h,2015-08-25
5197,i,a,g,2010-01-10
6591,g,d,d,2015-07-25
6571,h,a,i,2020-01-25
7672c,e,d,i,2017-03-21
1039,i,j,b,2016-11-05
8258c,d,c,d,2022-06-18
4532,f,b,c,2011-10-20
8563c,j,b,g,2013-02-19
1113,j,a,d,2022-12-24
6504,g,h,b,2016-07-25
4704,c,f,i,2022-11-22
5406,j,e,i,2021-02-19
581,i,d,e,2022-01-08
10576c,c,g,a,2011-03-27
11256c,j,g,c,2019-05-01
5349,c,h,c,2010-06-30
11282c,c,h,a,2010-03-27
4592,b,f,b,2013-12-02
10298c,f,e,b,2020-04-25
3879c,e,a,c,2021-11-23
531,e,f,g,2020-10-31
6455c,j,j,d,2011-05-08
14018c,e,i,j,2010-07-20
639c,i,b,g,2015-10-21
7090c,d,c,i,2021-11-29
6137c,g,e,c,2013-02-28
14149c,e,g,e,2017-11-29
4887,d,i,i,2017-10-18
1708,e,e,j,2018-04-17
2874c,a,d,d,2013-07-10
12244c,d,d,e,2014-02-19
10084c,f,e,c,2011-11-23
3820,d,g,e,2011-02-22
8360,f,e,b,2021-07-10
12388c,e,g,j,2022-04-06
2915c,e,f,a,2013-12-08
7560,g,j,d,2012-08-25
5318,f,i,c,2012-07-13
4610c,c,f,i,2011-05-20
8007,h,d,c,2022-02-11
14364c,g,d,g,2010-02-24
3181c,a,f,a,2011-02-18
13324c,d,h,b,2016-08-11
1519,h,d,f,2013-01-05
5664,i,d,a,2010-10-09
3268,g,d,d,2018-04-27
11081c,g,i,d,2013-09-21
8231,d,e,h,2021-12-14
13995c,b,e,j,2012-06-08
1071,d,e,d,2016-05-21
11030c,h,a,c,2011-08-03
6397c,h,a,f,2017-11-07
3176,f,c,d,2021-10-27
8095,g,e,g,2020-01-26
5742c,h,e,g,2017-08-15
9458c,f,h,f,2014-04-18
1755,e,j,d,2010-03-07
14680c,j,a,h,2022-10-29
9135,h,c,a,2015-08-24
14454c,h,c,j,2017-05-27
1337c,a,d,j,2017-03-06
5251,f,a,j,2017-10-06
13426c,j,e,j,2017-09-20
7675,a,g,c,2017-01-15
3275c,a,c,c,2017-02-01
628c,b,j,c,2020-04-17
11752c,c,f,i,2011-08-24
8047c,c,h,i,2011-07-15
8228,d,g,h,2020-11-15
5838,f,h,g,2015-10-07
9032,h,a,c,2014-02-06
11371c,c,g,i,2011-10-07
13923c,a,a,a,2022-10-12
9991c,i,e,b,2013-06-09
9835,i,h,i,2018-03-04
7544c,b,a,h,2021-08-20
1747c,j,d,b,2013-08-19
3299c,e,e,d,2015-09-17
12495c,e,j,b,2016-05-11
1062,j,h,f,2014-11-26
12350c,f,i,h,2016-07-24
3217,d,d,j,2020-03-25
7646,a,i,e,2021-03-02
12652c,b,h,i,2018-11-14
6603,a,b,g,2017-01-16
5897c,f,g,i,2021-11-03
13245c,c,h,b,2017-04-17
9136,b,c,i,2021-01-31
8498c,h,c,a,2021-05-23
4441,j,a,i,2022-04-25
12670c,a,d,g,2019-10-02
6579c,i,g,d,2015-06-23
6125,d,b,e,2021-07-09
7600,f,i,d,2015-08-21
9740c,j,c,j,2018-12-10
2331c,h,j,f,2011-04-10
12412c,f,i,d,2012-02-25
4492,j,a,h,2022-12-27
5228c,a,j,b,2021-12-20
823,b,d,h,2017-03-20
14755c,a,g,d,2022-05-24
12949c,g,h,d,2013-03-25
9944,c,j,f,2019-02-03
849,b,g,c,2014-02-05
11825c,f,a,g,2017-03-02
13714c,i,i,d,2013-04-21
14794c,h,i,c,2012-01-31
1372c,e,b,f,2017-02-11
6836c,c,g,d,2018-07-02
2553c,j,e,g,2020-07-08
9470c,d,c,a,2018-11-14
3577,g,a,c,2011-07-03
13287c,i,h,e,2019-05-29
10443c,g,a,i,2017-05-23
2787,i,f,i,2022-05-27
8989,g,j,a,2022-12-16
10054c,j,d,g,2010-05-16
3205c,f,h,h,2019-11-29
5341c,i,f,e,2019-10-07
10863c,j,c,c,2022-05-06
2361c,j,i,d,2010-05-26
9092c,h,d,e,2020-05-04
9329,h,f,e,2015-06-18
11798c,h,a,c,2017-05-29
8967,g,h,a,2018-12-18
5973c,d,g,i,2017-06-19
4138c,b,g,b,2018-12-06
6139,h,i,i,2017-02-05
12235c,d,f,b,2015-10-20
954c,g,d,c,2014-11-21
28,i,a,f,2016-03-28
2500c,h,c,c,2015-06-22
1067,f,b,e,2012-03-15
7479,i,a,b,2019-08-17
8026,h,i,c,2012-07-04
7081,j,e,c,2017-09-05
12712c,d,g,d,2020-11-25
6520c,f,d,f,2018-05-19
7862c,g,i,d,2019-12-23
1340,e,i,e,2015-05-04
12082c,a,i,i,2017-12-18
3125c,i,f,i,2012-04-18
5162,d,j,h,2016-08-27
4892c,j,g,j,2014-06-11
202,h,c,a,2010-05-11
1648,g,j,f,2013-01-27
5876c,g,e,h,2019-01-02
6752,c,f,c,2014-02-28
2793,h,g,d,2017-11-01
1066c,j,b,h,2022-05-20
8979c,b,e,i,2014-05-06
6768c,j,b,h,2021-09-22
185c,d,b,e,2022-03-12
4309c,f,j,d,2018-03-08
1216,b,h,a,2018-09-22
11867c,j,i,h,2022-09-24
5904,i,i,e,2011-01-22
218c,j,e,e,2011-07-19
14308c,g,c,d,2022-10-10
3863,i,i,j,2013-01-12
7762,d,j,h,2020-02-29
8621c,f,j,h,2020-03-11
8887c,f,h,g,2013-05-17
9666c,j,f,i,2013-05-24
7425,b,a,c,2011-08-25
4182c,j,i,i,2011-08-06
2026,j,e,a,2019-11-09
11636c,h,f,c,2021-03-24
1467,a,a,a,2015-12-06
5972,g,j,j,2010-12-15
9929c,h,j,d,2012-12-08
10971c,j,a,c,2020-10-08
11416c,d,i,e,2011-03-22
5969,c,d,b,2012-12-15
13415c,c,a,j,2021-04-27
4510c,j,h,f,2021-06-16
8337c,c,i,g,2019-08-24
12771c,c,g,e,2015-04-18
409,b,j,c,2011-02-04
6943,i,h,f,2015-11-07
2805,f,g,h,2022-10-17
9577,h,g,h,2013-11-15
10825c,b,i,b,2021-07-22
5421c,f,d,e,2022-05-04
1599c,f,g,h,2019-01-04
3250,c,j,f,2016-04-06
2436c,b,f,g,2014-09-09
4835,a,d,b,2020-04-03
4366c,i,h,f,2018-09-24
12376c,h,i,c,2012-05-29
3097c,a,i,i,2011-08-01
8762,b,f,j,2017-08-09
6936,d,b,j,2014-03-29
11546c,h,a,j,2015-07-31
3745c,b,d,e,2013-09-28
8418c,j,i,g,2021-05-22
1155,b,b,e,2013-03-07
7777,h,g,h,2021-05-12
6710,h,d,d,2010-10-02
11173c,c,g,c,2013-05-15
8558c,a,a,f,2012-05-19
2737c,c,e,a,2012-12-01
14452c,d,i,i,2017-08-05
1823c,h,g,c,2010-10-25
9154c,e,a,b,2019-09-04
1276c,f,i,e,2015-01-01
5863c,j,h,a,2020-06-27
13843c,h,d,i,2015-07-11
986,c,i,b,2017-08-01
9980c,i,j,h,2019-08-08
7124,g,j,c,2022-08-26
11479c,a,d,c,2020-11-04
22,f,i,f,2013-10-26
14573c,d,g,f,2012-06-12
1005c,h,c,e,2011-06-07
9972,f,f,i,2022-10-04
2324,i,a,f,2018-10-12
6053,a,h,e,2019-08-19
7762,c,e,e,2011-04-08
11724c,j,c,e,2015-09-26
1183c,i,g,c,2017-03-09
2894c,c,d,g,2017-07-23
721,b,i,f,2022-09-20
5382c,f,i,d,2012-12-14
11574c,i,d,f,2011-11-15
6734c,a,c,i,2022-04-14
7781c,e,d,c,2019-03-14
3293c,b,b,a,2013-06-13
7053c,d,g,i,2010-02-14
1274,b,i,i,2021-06-01
6632c,g,b,e,2012-04-19
12589c,e,e,c,2022-09-24
6643c,i,c,a,2012-03-06
7164,a,h,g,2022-01-11
9749c,c,g,b,2013-04-26
4673,b,c,g,2020-01-27
3310c,c,h,d,2019-11-26
8757,c,b,h,2011-08-07
14340c,b,a,d,2014-11-22
11444c,j,a,j,2012-05-07
877,j,g,j,2010-12-05
3765,a,e,g,2021-10-19
10081c,a,i,d,2014-09-13
6748c,j,f,b,2021-02-05
9504c,g,c,d,2014-02-27
2812,f,i,d,2012-11-25
6343,c,h,f,2010-07-11
4270,g,c,i,2020-03-05
8232,i,f,e,2018-02-14
10988c,c,a,c,2014-09-12
7041c,a,b,a,2013-01-23
1991c,c,e,e,2013-10-09
5833,i,h,b,2015-12-20
2288c,e,d,g,2018-12-05
12802c,g,b,a,2014-04-20
