id_hcn,site,date_int_ref,DATE_INIT_ASSESS,OUTCOME_CATEGORY_DESC
139,a,2021-03-14,2021-03-17,g
8172,c,2021-07-21,2021-07-25,e
12665c,h,2010-05-20,2010-05-28,a
7317c,f,2013-02-18,2013-03-02,c
1478,a,2016-11-10,2016-11-24,a
8279c,j,2015-06-01,2015-06-17,e
2159,b,2011-12-26,2012-01-09,b
277,a,2010-03-02,2010-03-21,c
10671c,e,2011-01-13,2011-01-16,b
9561,d,2016-02-23,2016-03-12,h
8274,c,2017-10-17,2017-10-20,f
2732c,f,2016-07-23,2016-08-05,i
5016c,h,2017-04-09,2017-04-13,a
2601c,d,2011-07-18,2011-07-26,g
14513c,i,2015-06-21,2015-06-22,b
9318c,g,2010-02-25,2010-03-03,j
13112c,g,2016-10-26,2016-11-04,g
11659c,g,2022-03-01,2022-03-05,j
427,i,2017-12-31,2018-01-13,d
8873c,b,2010-06-11,2010-06-23,b
5742,i,2015-05-31,2015-06-09,j
14073c,g,2017-07-10,2017-07-15,c
11014c,f,2020-11-03,2020-11-19,c
932,d,2011-05-21,2011-05-30,e
6804,i,2013-10-20,2013-10-31,h
11351c,e,2022-08-25,2022-09-09,e
2551c,c,2016-04-21,2016-05-03,e
13579c,e,2017-08-13,2017-08-22,g
11923c,d,2013-02-09,2013-03-01,c
3096c,b,2019-01-04,2019-01-21,c
8102,f,2011-10-20,2011-11-06,d
6377,h,2022-10-25,2022-10-30,f
10547c,g,2018-12-13,2018-12-17,j
4801,c,2013-03-09,2013-03-27,b
5538,g,2015-11-27,2015-12-16,f
9526,f,2012-02-07,2012-02-14,h
3724c,c,2022-11-25,2022-12-03,h
5879,h,2012-01-21,2012-02-07,e
219c,f,2022-03-30,2022-04-18,c
1302,i,2016-07-15,2016-07-20,a
2277,h,2021-04-18,2021-05-01,e
7030c,b,2016-11-03,2016-11-21,i
4125,j,2013-12-17,2013-12-25,h
6933,g,2010-07-02,2010-07-18,b
12220c,i,2018-07-09,2018-07-12,c
7941c,j,2018-06-18,2018-07-01,a
8257,c,2022-05-06,2022-05-24,a
9103c,b,2017-07-10,2017-07-21,i
1116,f,2018-08-06,2018-08-14,f
10284c,c,2016-09-07,2016-09-20,c
